Radii of counted particles (micrometer),Number of images analyzed,Total number of particles counted,Total imaged area (micrometer squared),Areal particle density (particle per square micrometer)
0.3494951839986594,16,1561,9935.2123506,0.1571179
0.3385364862898466,,,,
0.09107098438942786,,,,
0.2957417803251054,,,,
0.3754952880665881,,,,
0.2827070383649505,,,,
0.1960960187071235,,,,
0.37145758697958703,,,,
0.43589707895016727,,,,
0.3385364862898466,,,,
0.11321608918757166,,,,
0.19221254468693838,,,,
0.3070002257487216,,,,
0.350572213312942,,,,
0.2456001805989773,,,,
0.21967147964221528,,,,
0.18006027791203566,,,,
0.2604983297432664,,,,
0.317860152566611,,,,
0.29189248243699,,,,
0.21091608147272597,,,,
0.23460924310031642,,,,
0.2676365919365702,,,,
0.23460924310031642,,,,
0.2704391457632908,,,,
0.4980599691010152,,,,
0.1063479977863802,,,,
0.28929783111090246,,,,
0.25611989472197816,,,,
0.35484764221091764,,,,
0.2690415180828051,,,,
0.38442508937387676,,,,
0.31066238577658617,,,,
0.4035622771242076,,,,
0.1692682431449233,,,,
0.4627461970901419,,,,
0.23621068997185857,,,,
0.4298003160482103,,,,
0.22138101110320718,,,,
0.09512054092853729,,,,
0.44361267048765807,,,,
0.30453432054862023,,,,
0.3734818939954837,,,,
0.23621068997185857,,,,
0.441909736484087,,,,
0.2054838536167141,,,,
0.10274192680835705,,,,
0.22643217837514332,,,,
0.09512054092853729,,,,
0.08237680486583074,,,,
0.23621068997185857,,,,
0.18214196877885572,,,,
0.38735594569691006,,,,
0.2633768517102211,,,,
0.13729467477638455,,,,
0.4545262498828942,,,,
0.19024108185707458,,,,
0.2827070383649505,,,,
0.2604983297432664,,,,
0.42804243417841786,,,,
0.37448994412578274,,,,
0.35164594389245135,,,,
0.32605678700468127,,,,
0.427160780442806,,,,
0.4324237400996572,,,,
0.38832798222073267,,,,
0.3494951839986594,,,,
0.39122960151586184,,,,
0.19800919590176277,,,,
0.1882489737482572,,,,
0.22476106934884116,,,,
0.29828038294131776,,,,
0.3569661544185999,,,,
0.3070002257487216,,,,
0.22476106934884116,,,,
0.26480437897751224,,,,
0.2425107471690564,,,,
0.420040935478296,,,,
0.10274192680835705,,,,
0.2759588809889817,,,,
0.1196907225673086,,,,
0.22138101110320718,,,,
0.2017811385621038,,,,
0.1196907225673086,,,,
0.1063479977863802,,,,
0.2017811385621038,,,,
0.34515346036617434,,,,
0.27732164918298224,,,,
0.5217197641502613,,,,
0.09512054092853729,,,,
0.08237680486583074,,,,
0.2144611378351934,,,,
0.21794853947508364,,,,
0.2970137938526442,,,,
0.2425107471690564,,,,
0.1624492499543611,,,,
0.29828038294131776,,,,
0.36737551155348525,,,,
0.24406035237492416,,,,
0.46921848620063283,,,,
0.33405236133570887,,,,
0.09107098438942786,,,,
0.2126959955727604,,,,
0.09512054092853729,,,,
0.16475360973166148,,,,
0.18214196877885572,,,,
0.22476106934884116,,,,
0.3754952880665881,,,,
0.34296198766771224,,,,
0.3070002257487216,,,,
0.09900459795088139,,,,
0.5373819504787289,,,,
0.5231629751069552,,,,
0.340756421461477,,,,
0.17148099383385612,,,,
0.22973793248279437,,,,
0.23137309854507096,,,,
0.15039878080072275,,,,
0.5359770279429584,,,,
0.24406035237492416,,,,
0.23299678933243959,,,,
0.08237680486583074,,,,
0.3166718861547249,,,,
0.3794900312204821,,,,
0.2091210183480643,,,,
0.280027290318864,,,,
0.09900459795088139,,,,
0.08237680486583074,,,,
0.08237680486583074,,,,
0.140013645159432,,,,
0.2813703545724095,,,,
0.08237680486583074,,,,
0.11321608918757166,,,,
0.08237680486583074,,,,
0.38344315906172455,,,,
0.2575876425243946,,,,
0.08237680486583074,,,,
0.2957417803251054,,,,
0.1779542372995973,,,,
0.1960960187071235,,,,
0.1624492499543611,,,,
0.4044953703400743,,,,
0.3941098583249275,,,,
0.08237680486583074,,,,
0.1063479977863802,,,,
0.33405236133570887,,,,
0.19990406391702195,,,,
0.29446427206196807,,,,
0.15773957205780112,,,,
0.2786777533540258,,,,
0.1528848794852584,,,,
0.1882489737482572,,,,
0.6463065699174682,,,,
0.09900459795088139,,,,
0.13452075904140254,,,,
0.2759588809889817,,,,
0.22138101110320718,,,,
0.13452075904140254,,,,
0.2162118700498286,,,,
0.08237680486583074,,,,
0.31547914411560224,,,,
0.29446427206196807,,,,
0.23460924310031642,,,,
0.1779542372995973,,,,
0.2091210183480643,,,,
0.2786777533540258,,,,
0.44276202220641436,,,,
0.37145758697958703,,,,
0.2604983297432664,,,,
0.3190439933591405,,,,
0.08237680486583074,,,,
0.2840374317760948,,,,
0.40542631603712154,,,,
0.18214196877885572,,,,
0.08237680486583074,,,,
0.5224418679756462,,,,
0.23299678933243959,,,,
0.17148099383385612,,,,
0.4155290867473556,,,,
0.25016280306409394,,,,
0.140013645159432,,,,
0.17148099383385612,,,,
0.33517901668040184,,,,
0.25904707427445195,,,,
0.09512054092853729,,,,
